x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0
1.0,0.99,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0
1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99
1.0,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0
1.0,0.99,0.99,1.0,1.0,0.99,0.99,1.0,0.99,0.99
1.0,0.97,0.99,1.0,1.0,1.0,0.99,1.0,0.98,0.99
1.0,0.97,0.99,1.0,1.0,1.0,0.96,1.0,0.97,0.98
0.98,0.98,0.98,1.0,0.99,1.0,0.97,0.99,0.97,0.98
0.97,0.98,0.98,0.99,0.98,0.98,0.97,0.99,0.97,0.98
0.98,0.94,0.98,1.0,0.98,0.98,0.97,0.99,0.95,0.96
0.96,0.94,0.98,0.98,0.98,0.98,0.97,0.99,0.95,0.96
0.96,0.93,0.98,0.98,0.96,0.98,0.96,0.97,0.92,0.96
0.96,0.93,0.98,0.98,0.95,0.99,0.92,0.97,0.96,0.96
0.96,0.93,0.99,0.98,0.95,0.97,0.92,1.0,0.93,0.96
0.96,0.92,0.95,0.98,0.93,0.98,0.91,1.0,0.93,0.96
0.91,0.92,0.94,0.98,0.89,0.97,0.9,0.96,0.91,0.95
0.91,0.91,0.92,0.98,0.9,0.95,0.87,0.96,0.91,0.94
0.9,0.89,0.9,0.96,0.91,0.94,0.84,0.96,0.88,0.93
0.87,0.9,0.9,0.96,0.91,0.93,0.9,0.96,0.88,0.95
0.9,0.9,0.88,0.96,0.89,0.95,0.86,0.93,0.89,0.95
0.9,0.89,0.92,0.97,0.89,0.93,0.86,0.91,0.87,0.92
0.83,0.86,0.93,0.96,0.88,0.92,0.85,0.88,0.86,0.89
0.83,0.84,0.9,0.96,0.88,0.92,0.83,0.85,0.86,0.89
0.83,0.81,0.89,0.94,0.88,0.91,0.83,0.85,0.85,0.85
0.83,0.78,0.87,0.92,0.88,0.91,0.81,0.84,0.85,0.86
0.81,0.75,0.87,0.91,0.87,0.85,0.79,0.84,0.86,0.8
0.81,0.73,0.88,0.92,0.85,0.86,0.81,0.84,0.83,0.8
0.79,0.72,0.83,0.91,0.85,0.84,0.81,0.77,0.88,0.81
0.79,0.7,0.83,0.91,0.85,0.84,0.81,0.78,0.86,0.8
0.79,0.7,0.84,0.9,0.84,0.83,0.8,0.8,0.84,0.79
0.79,0.71,1.0,0.9,0.84,0.83,0.8,0.8,0.84,0.76
0.8,0.7,1.0,0.9,0.83,0.82,0.76,0.78,0.82,0.75
0.8,0.7,1.0,0.92,0.82,0.78,0.73,0.78,0.84,0.75
0.78,0.7,1.0,0.92,0.82,0.77,0.74,0.78,0.84,0.71
0.78,0.72,1.0,0.9,0.82,0.77,0.74,0.78,0.8,0.71
0.74,0.72,1.0,0.9,0.82,0.77,0.75,0.78,0.8,0.71
0.74,0.66,1.0,0.87,0.81,0.77,0.74,0.77,0.8,0.71
0.74,0.64,1.0,0.87,0.8,0.75,0.73,0.77,0.74,0.68
0.73,0.67,1.0,0.84,0.8,0.73,0.73,0.7,0.74,0.67
0.74,0.67,1.0,0.83,0.77,0.73,0.71,0.68,0.74,0.67
0.74,0.67,1.0,0.82,0.77,0.73,0.71,0.68,0.75,0.66
0.74,0.67,1.0,0.82,0.78,0.75,0.7,0.68,0.77,0.68
0.74,0.67,1.0,0.81,0.78,0.73,0.7,0.68,0.72,0.68
0.71,0.66,1.0,0.81,0.77,0.73,0.7,0.67,0.72,0.68
0.69,0.64,1.0,0.81,0.73,0.73,0.65,0.67,0.73,0.69
0.71,0.64,1.0,0.81,0.73,0.73,0.66,0.67,0.73,0.69
